titleType,primaryTitle,isAdult,year,runtimeMinutes,genres,averageRating,numVotes
movie,True Crime,0,1999,127,Drama,6.6,35344
movie,True Crime,0,1999,127,Mystery,6.6,35344
movie,Varsity Blues,0,1999,106,Comedy,6.5,44939
movie,Varsity Blues,0,1999,106,Drama,6.5,44939
movie,Varsity Blues,0,1999,106,Romance,6.5,44939
movie,The Thirteenth Floor,0,1999,100,Mystery,7.1,70601
movie,The Thirteenth Floor,0,1999,100,Sci-Fi,7.1,70601
movie,The Thirteenth Floor,0,1999,100,Thriller,7.1,70601
movie,The Insider,0,1999,157,Biography,7.8,167959
movie,The Insider,0,1999,157,Drama,7.8,167959
movie,The Insider,0,1999,157,Thriller,7.8,167959
movie,A Midsummer Night's Dream,0,1999,116,Comedy,6.4,25263
movie,A Midsummer Night's Dream,0,1999,116,Fantasy,6.4,25263
movie,A Midsummer Night's Dream,0,1999,116,Romance,6.4,25263
movie,Central Station,0,1998,110,Drama,8.0,38829
movie,Forces of Nature,0,1999,105,Comedy,5.5,33816
movie,Forces of Nature,0,1999,105,Romance,5.5,33816
movie,Jack Frost,0,1998,101,Comedy,5.4,36287
movie,Jack Frost,0,1998,101,Drama,5.4,36287
movie,Jack Frost,0,1998,101,Family,5.4,36287
movie,Inspector Gadget,0,1999,78,Action,4.2,47602
movie,Inspector Gadget,0,1999,78,Adventure,4.2,47602
movie,Inspector Gadget,0,1999,78,Comedy,4.2,47602
movie,U-571,0,2000,116,Action,6.6,81347
movie,U-571,0,2000,116,War,6.6,81347
movie,Big Daddy,0,1999,93,Comedy,6.4,210887
movie,Big Daddy,0,1999,93,Drama,6.4,210887
movie,The Ninth Gate,0,1999,133,Mystery,6.7,176645
movie,The Ninth Gate,0,1999,133,Thriller,6.7,176645
movie,The World Is Not Enough,0,1999,128,Action,6.4,197376
movie,The World Is Not Enough,0,1999,128,Adventure,6.4,197376
movie,The World Is Not Enough,0,1999,128,Thriller,6.4,197376
movie,American Psycho,0,2000,101,Crime,7.6,547831
movie,American Psycho,0,2000,101,Drama,7.6,547831
movie,American Psycho,0,2000,101,Horror,7.6,547831
movie,The Boondock Saints,0,1999,108,Action,7.7,235405
movie,The Boondock Saints,0,1999,108,Thriller,7.7,235405
movie,Bride of Chucky,0,1998,89,Comedy,5.5,57030
movie,Bride of Chucky,0,1998,89,Horror,5.5,57030
movie,Bride of Chucky,0,1998,89,Thriller,5.5,57030
movie,The General's Daughter,0,1999,116,Crime,6.4,58056
movie,The General's Daughter,0,1999,116,Drama,6.4,58056
movie,The General's Daughter,0,1999,116,Mystery,6.4,58056
movie,Nutty Professor II: The Klumps,0,2000,106,Comedy,4.4,50435
movie,Nutty Professor II: The Klumps,0,2000,106,Romance,4.4,50435
movie,Nutty Professor II: The Klumps,0,2000,106,Sci-Fi,4.4,50435
movie,Spider-Man,0,2002,121,Action,7.3,779350
movie,Spider-Man,0,2002,121,Adventure,7.3,779350
movie,Spider-Man,0,2002,121,Sci-Fi,7.3,779350
